	Comparts	Site	Sitetre	Treatment	Soiltype	ComTreament	TreCom	SiteCom	Maize.variety	Growing.day
SEHL20NPK2	SE	HL20	HL20NPK	NPK	BS	SEHL20NPK	NPKSE	HL20SE	KW6	102d
SEHL20NPK3	SE	HL20	HL20NPK	NPK	BS	SEHL20NPK	NPKSE	HL20SE	KW6	102d
SEHL20NPKM1	SE	HL20	HL20NPKM	NPKM	BS	SEHL20NPKM	NPKMSE	HL20SE	KW6	102d
SEHL20NPKM2	SE	HL20	HL20NPKM	NPKM	BS	SEHL20NPKM	NPKMSE	HL20SE	KW6	102d
XEQYCK1	VE	QY	QYCK	CK	RS	XEQYCK	CKXE	QYXE	YD13	116d
XEQYCK4	VE	QY	QYCK	CK	RS	XEQYCK	CKXE	QYXE	YD13	116d
XEQYCK5	VE	QY	QYCK	CK	RS	XEQYCK	CKXE	QYXE	YD13	116d
XEQYCK6	VE	QY	QYCK	CK	RS	XEQYCK	CKXE	QYXE	YD13	116d
XEQYCK7	VE	QY	QYCK	CK	RS	XEQYCK	CKXE	QYXE	YD13	116d
XEQYCK8	VE	QY	QYCK	CK	RS	XEQYCK	CKXE	QYXE	YD13	116d
XEQYCK9	VE	QY	QYCK	CK	RS	XEQYCK	CKXE	QYXE	YD13	116d
XEQYNPK1	VE	QY	QYNPK	NPK	RS	XEQYNPK	NPKXE	QYXE	YD13	116d
XEQYNPK2	VE	QY	QYNPK	NPK	RS	XEQYNPK	NPKXE	QYXE	YD13	116d
XEQYNPK4	VE	QY	QYNPK	NPK	RS	XEQYNPK	NPKXE	QYXE	YD13	116d
XEQYNPK6	VE	QY	QYNPK	NPK	RS	XEQYNPK	NPKXE	QYXE	YD13	116d
XEQYNPK7	VE	QY	QYNPK	NPK	RS	XEQYNPK	NPKXE	QYXE	YD13	116d
XEQYNPK8	VE	QY	QYNPK	NPK	RS	XEQYNPK	NPKXE	QYXE	YD13	116d
XEQYNPK9	VE	QY	QYNPK	NPK	RS	XEQYNPK	NPKXE	QYXE	YD13	116d
XEQYNPKM1	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM2	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM3	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM4	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM5	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM6	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM7	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM8	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEQYNPKM9	VE	QY	QYNPKM	NPKM	RS	XEQYNPKM	NPKMXE	QYXE	YD13	116d
XEYCCK1	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK2	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK3	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK4	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK5	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK6	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK7	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK8	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCCK9	VE	YC	YCCK	CK	FS	XEYCCK	CKXE	YCXE	ZD958	68d
XEYCNPK1	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK2	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK3	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK4	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK5	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK6	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK7	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK8	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPK9	VE	YC	YCNPK	NPK	FS	XEYCNPK	NPKXE	YCXE	ZD958	68d
XEYCNPKM1	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM2	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM3	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM4	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM5	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM6	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM7	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM8	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYCNPKM9	VE	YC	YCNPKM	NPKM	FS	XEYCNPKM	NPKMXE	YCXE	ZD958	68d
XEYYCK1	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYCK2	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYCK4	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYCK5	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYCK6	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYCK7	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYCK8	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYCK9	VE	YY	YYCK	CK	FS	XEYYCK	CKXE	YYXE	JD20	66d
XEYYNPK1	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPK2	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPK3	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPK4	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPK5	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPK6	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPK8	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPK9	VE	YY	YYNPK	NPK	FS	XEYYNPK	NPKXE	YYXE	JD20	66d
XEYYNPKM1	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM2	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM3	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM4	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM5	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM6	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM7	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM8	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XEYYNPKM9	VE	YY	YYNPKM	NPKM	FS	XEYYNPKM	NPKMXE	YYXE	JD20	66d
XECCCK1	VE	CC	CCCK	CK	BS	XECCCK	CKXE	CCXE	LY66	115d
XECCCK2	VE	CC	CCCK	CK	BS	XECCCK	CKXE	CCXE	LY66	115d
XECCCK3	VE	CC	CCCK	CK	BS	XECCCK	CKXE	CCXE	LY66	115d
XECCNPK1	VE	CC	CCNPK	NPK	BS	XECCNPK	NPKXE	CCXE	LY66	115d
XECCNPK2	VE	CC	CCNPK	NPK	BS	XECCNPK	NPKXE	CCXE	LY66	115d
XECCNPK3	VE	CC	CCNPK	NPK	BS	XECCNPK	NPKXE	CCXE	LY66	115d
XECCNPKM1	VE	CC	CCNPKM	NPKM	BS	XECCNPKM	NPKMXE	CCXE	LY66	115d
XECCNPKM2	VE	CC	CCNPKM	NPKM	BS	XECCNPKM	NPKMXE	CCXE	LY66	115d
XECCNPKM3	VE	CC	CCNPKM	NPKM	BS	XECCNPKM	NPKMXE	CCXE	LY66	115d
XEJX20CK1	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK2	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK3	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK4	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK5	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK6	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK7	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK8	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20CK9	VE	JX20	JX20CK	CK	RS	XEJX20CK	CKXE	JX20XE	YD13	77d
XEJX20NPK1	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK2	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK3	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK4	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK5	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK6	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK7	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK8	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPK9	VE	JX20	JX20NPK	NPK	RS	XEJX20NPK	NPKXE	JX20XE	YD13	77d
XEJX20NPKM1	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM2	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM3	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM4	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM5	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM6	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM7	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM8	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEJX20NPKM9	VE	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	NPKMXE	JX20XE	YD13	77d
XEHL20CK1	VE	HL20	HL20CK	CK	BS	XEHL20CK	CKXE	HL20XE	KW6	102d
XEHL20CK2	VE	HL20	HL20CK	CK	BS	XEHL20CK	CKXE	HL20XE	KW6	102d
XEHL20CK3	VE	HL20	HL20CK	CK	BS	XEHL20CK	CKXE	HL20XE	KW6	102d
XEHL20NPK2	VE	HL20	HL20NPK	NPK	BS	XEHL20NPK	NPKXE	HL20XE	KW6	102d
XEHL20NPK3	VE	HL20	HL20NPK	NPK	BS	XEHL20NPK	NPKXE	HL20XE	KW6	102d
XEHL20NPKM1	VE	HL20	HL20NPKM	NPKM	BS	XEHL20NPKM	NPKMXE	HL20XE	KW6	102d
XEHL20NPKM2	VE	HL20	HL20NPKM	NPKM	BS	XEHL20NPKM	NPKMXE	HL20XE	KW6	102d
XEHL20NPKM3	VE	HL20	HL20NPKM	NPKM	BS	XEHL20NPKM	NPKMXE	HL20XE	KW6	102d
